Removed,RMSE,SRCC,PLCC
color,0.10976891034328773,0.6641578034832223,0.7069476599500271
multi_texture,0.10858959252435908,0.6840568638383329,0.7084833700544946
multi_frequency,0.114607394829227,0.6464473785675193,0.6665571531191025
edge_energy,0.10443996064681169,0.6974814377543406,0.7379927336199618
local_entropy,0.10518679573760653,0.6935819445771167,0.7319540856982347
multi_hdaf,0.1003010818138903,0.7280505040010232,0.766766266149349
multi_frequency,0.114607394829227,0.6464473785675193,0.6665571531191025
multi_fpff,0.10522399948898022,0.6878758204553795,0.7347788934559095
illumination,0.1043626197476555,0.69885273594114,0.7385921132521421
specular,0.10329147018066476,0.7136311947336387,0.7444766159592024
veiling_gradient,0.10516619992434814,0.6905357036050126,0.7331067317881085
