Removed,RMSE,SRCC,PLCC
color,1.590543308577647,0.6983340341263599,0.697886152687679
texture,1.476354873109922,0.7454052844315439,0.7442557379345609
multi_hdaf,1.4884626088150867,0.7394440224615468,0.7416666143958098
multi_frequency,1.4620847607485776,0.7546608387814341,0.751092327988208
multi_fpff,1.4781733638890802,0.7497185524780947,0.7441024904309956
illumination,1.476899238772976,0.7444999050538481,0.7445964742224189
edge_energy,1.4740410816970062,0.7470770148929822,0.7457568675139269
specular,1.475623033113199,0.7440980793749832,0.7450690867516516
veiling_gradient,1.4776811562191936,0.7450221088896728,0.7443989706692231
local_entropy,1.501208922993639,0.7337675989474541,0.7354496233031056
